,Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
18,Bệnh thương hàn,Sử dụng neem khi tắm,Tiêu thụ lá neem,Uống vắc xin,Tránh nơi công cộng
19,Viêm gan A,Sử dụng đệm sưởi hoặc túi lạnh,Bài tập,Uống thuốc giảm đau otc,Tham khảo ý kiến ​​bác sĩ
20,Viêm gan B,Ăn uống lành mạnh,Mát xa,Sử dụng dầu chanh,Điều trị bằng iốt phóng xạ
21,Viêm gan C,Uống nhiều nước,Tăng cường bổ sung vitamin c,Uống nước ép nam việt quất,Uống men vi sinh
22,Viêm gan D ,Nằm ngửa và giơ chân lên cao,Sử dụng thuốc mỡ,Sử dụng phương pháp nén tĩnh mạch,Đừng đứng yên lâu
23,Viêm gan E,Tránh những vết cắt hở,Mặc đồ bảo hộ nếu có thể,Tham khảo ý kiến ​​bác sĩ,Theo dõi
24,Viêm gan do rượu,Mát xa,Ăn uống lành mạnh,Bài tập,Tham khảo ý kiến ​​bác sĩ
25,Bệnh lao,Ăn rau nhiều calo,Liệu pháp kháng sinh,Tham khảo ý kiến ​​bác sĩ,Thuốc
26,Cảm lạnh thông thường,Tư vấn bệnh viện gần nhất,Tiêm chủng,Ăn uống lành mạnh,Thuốc
27,Viêm phổi,Tắm hai lần,Sử dụng detol hoặc neem trong nước tắm,Giữ cho vùng bị nhiễm bệnh khô ráo,Sử dụng vải sạch
28,Bệnh trĩ lưỡng hình (cọc),Tư vấn bệnh viện gần nhất,Tiêm chủng,Ăn uống lành mạnh,Thuốc
29,Đau tim,Thiền định,Giảm căng thẳng,Sử dụng kính poloroid khi đi nắng,Tham khảo ý kiến ​​bác sĩ
30,Giãn tĩnh mạch,Chuyển sang mặc quần áo rộng rãi,Hít thở sâu,Tránh xa cò súng,Tìm kiếm sự giúp đỡ
31,Suy giáp,Ngừng uống rượu,Tham khảo ý kiến ​​bác sĩ,Thuốc,Theo dõi
32,Bệnh cường giáp,Uống nhiều nước,Tiêu thụ cây kế sữa,Ăn trái cây và thực phẩm nhiều chất xơ,Thuốc
33,Hạ đường huyết,Ngừng uống rượu,Nghỉ ngơi,Tham khảo ý kiến ​​bác sĩ,Thuốc
34,Viêm xương khớp,Uống nước ép lá đu đủ,Tránh đồ ăn cay nhiều dầu mỡ,Đuổi muỗi đi,Giữ nước
35,Viêm khớp,Tham khảo ý kiến ​​bác sĩ,Thuốc,Ăn uống lành mạnh,Theo dõi
36,(Chóng mặt) Chóng mặt tư thế kịch phát,Gọi xe cứu thương,Nhai hoặc nuốt asprin,Giữ bình tĩnh,Đi khám
37,Mụn trứng cá,Tham khảo ý kiến ​​bác sĩ,Thuốc,Nghỉ ngơi,Theo dõi
38,Nhiễm trùng đường tiết niệu,Bài tập,Sử dụng liệu pháp nóng và lạnh,Thử châm cứu,Mát xa
39,Bệnh vẩy nến,Ngừng ăn thức ăn đặc trong một thời gian,Hãy thử uống từng ngụm nước nhỏ,Nghỉ ngơi,Dễ dàng ăn uống trở lại
40,Bệnh chốc lở,Che miệng,Tham khảo ý kiến ​​bác sĩ,Thuốc đặc trị,Nghỉ ngơi
