,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
178,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
179,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
180,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
181,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
182,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
183,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
184,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
185,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
186,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
187,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
188,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
189,Bệnh thương hàn,ớn lạnh,mệt mỏi,sốt cao,đau đầu
190,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
191,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
192,Viêm gan A,nôn mửa,vàng da,nước tiểu sẫm màu,buồn nôn
193,Viêm gan A,đau khớp,vàng da,nước tiểu sẫm màu,buồn nôn
194,Viêm gan A,đau khớp,nôn mửa,nước tiểu sẫm màu,buồn nôn
195,Viêm gan A,đau khớp,nôn mửa,vàng da,buồn nôn
196,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
197,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
198,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
199,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
200,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
201,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
202,Viêm gan B,mệt mỏi,hôn mê,vàng da,nước tiểu sẫm màu
203,Viêm gan B,ngứa,hôn mê,vàng da,nước tiểu sẫm màu
204,Viêm gan B,ngứa,mệt mỏi,vàng da,nước tiểu sẫm màu
205,Viêm gan B,ngứa,mệt mỏi,hôn mê,nước tiểu sẫm màu
206,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
207,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
208,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
209,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
210,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
211,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
212,Viêm gan C,vàng da,buồn nôn,không thèm ăn,mắt vàng
213,Viêm gan C,mệt mỏi,buồn nôn,không thèm ăn,mắt vàng
214,Viêm gan C,mệt mỏi,vàng da,không thèm ăn,mắt vàng
215,Viêm gan C,mệt mỏi,vàng da,buồn nôn,mắt vàng
216,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
217,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
218,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
219,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
220,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
221,Viêm gan D,nôn mửa,mệt mỏi,vàng da,nước tiểu sẫm màu
222,Viêm gan D,đau khớp,mệt mỏi,vàng da,nước tiểu sẫm màu
223,Viêm gan D,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
224,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,nước tiểu sẫm màu
225,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
226,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
227,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
228,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
229,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
230,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
231,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
232,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
233,Viêm gan E,nôn mửa,mệt mỏi,sốt cao,vàng da
234,Viêm gan E,đau khớp,mệt mỏi,sốt cao,vàng da
235,Viêm gan E,đau khớp,nôn mửa,sốt cao,vàng da
236,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,vàng da
237,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
238,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
239,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
240,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
241,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
242,Viêm gan Do rượu,vàng da,đau bụng,sưng dạ dày,chướng bụng
243,Viêm gan Do rượu,nôn mửa,đau bụng,sưng dạ dày,chướng bụng
244,Viêm gan Do rượu,nôn mửa,vàng da,sưng dạ dày,chướng bụng
245,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,chướng bụng
246,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
247,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
248,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
249,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
250,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
251,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
252,Bệnh lao,nôn mửa,mệt mỏi,tụt cân,ho
253,Bệnh lao,ớn lạnh,mệt mỏi,tụt cân,ho
254,Bệnh lao,ớn lạnh,nôn mửa,tụt cân,ho
255,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,ho
256,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
257,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
258,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
259,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
260,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
261,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
262,Cảm lạnh thông thường,ớn lạnh,mệt mỏi,ho,sốt cao
263,Cảm lạnh thông thường,hắt hơi liên tục,mệt mỏi,ho,sốt cao
264,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,ho,sốt cao
265,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,sốt cao
266,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
267,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
268,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
269,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
270,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
271,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
272,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
273,Viêm phổi,mệt mỏi,ho,sốt cao,khó thở
274,Viêm phổi,ớn lạnh,ho,sốt cao,khó thở
275,Viêm phổi,ớn lạnh,mệt mỏi,sốt cao,khó thở
276,Viêm phổi,ớn lạnh,mệt mỏi,ho,khó thở
277,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
278,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
279,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
280,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
281,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
282,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
283,Bệnh trĩ lưỡng hình (cọc),đau khi đi tiểu,đau hậu môn,phân có máu,ngứa hậu môn
284,Bệnh trĩ lưỡng hình (cọc),táo bón,đau hậu môn,phân có máu,ngứa hậu môn
285,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,phân có máu,ngứa hậu môn
286,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,ngứa hậu môn
287,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
288,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
289,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
290,Đau tim,nôn mửa,khó thở,đổ mồ hôi,đau ngực
291,Đau tim,nôn mửa,khó thở,đổ mồ hôi,đau ngực
292,Đau tim,khó thở,đổ mồ hôi,đau ngực,
293,Đau tim,nôn mửa,đổ mồ hôi,đau ngực,
294,Đau tim,nôn mửa,khó thở,đau ngực,
295,Đau tim,nôn mửa,khó thở,đổ mồ hôi,
296,Đau tim,nôn mửa,khó thở,đổ mồ hôi,
297,Đau tim,khó thở,đổ mồ hôi,đau ngực,
298,Đau tim,nôn mửa,đổ mồ hôi,đau ngực,
299,Đau tim,nôn mửa,khó thở,đau ngực,
300,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
301,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
302,Giãn tĩnh mạch,chuột rút,bầm tím,béo phì,sưng chân
303,Giãn tĩnh mạch,mệt mỏi,bầm tím,béo phì,sưng chân
304,Giãn tĩnh mạch,mệt mỏi,chuột rút,béo phì,sưng chân
305,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,sưng chân
306,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
307,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
308,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
309,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
310,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,tâm trạng thất thường
311,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,tâm trạng thất thường
312,Suy giáp,tăng cân,tay và chân lạnh,tâm trạng thất thường,hôn mê
313,Suy giáp,tăng cân,tay và chân lạnh,tâm trạng thất thường,hôn mê
314,Suy giáp,mệt mỏi,tay và chân lạnh,tâm trạng thất thường,hôn mê
315,Suy giáp,mệt mỏi,tăng cân,tâm trạng thất thường,hôn mê
316,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,hôn mê
317,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,tâm trạng thất thường
318,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,tâm trạng thất thường
319,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,tâm trạng thất thường
320,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
321,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
322,Bệnh cường giáp,tâm trạng thất thường,tụt cân,bồn chồn,đổ mồ hôi
323,Bệnh cường giáp,mệt mỏi,tụt cân,bồn chồn,đổ mồ hôi
324,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,bồn chồn,đổ mồ hôi
325,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,đổ mồ hôi
326,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
327,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
328,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
329,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
330,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
331,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
332,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
333,Hạ đường huyết,mệt mỏi,lo âu,đổ mồ hôi,đau đầu
334,Hạ đường huyết,nôn mửa,lo âu,đổ mồ hôi,đau đầu
335,Hạ đường huyết,nôn mửa,mệt mỏi,đổ mồ hôi,đau đầu
336,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đau đầu
337,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
338,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
339,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
340,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
341,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
342,Viêm xương khớp,đau cổ,đau đầu gối,đau khớp hông,sưng khớp
343,Viêm xương khớp,đau khớp,đau đầu gối,đau khớp hông,sưng khớp
344,Viêm xương khớp,đau khớp,đau cổ,đau khớp hông,sưng khớp
345,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,sưng khớp
346,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
347,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
